time,ACTON275,BOL5,Densidad2_,ECE7,GR,GR2,HALFAC3,IACCEL1,RX306
1000.101,-0.056166057,-0.1025641,-0.0015883932,-0.036630038,-0.021978023,-0.053724054,-0.034188036,2.1733823,-0.0097680101
1000.201,-0.061050061,-0.1025641,0.0035671543,-0.034188036,-0.021978023,-0.056166057,-0.031746034,2.1733823,-0.0097680101
1000.231,-0.056166057,-0.1001221,0.00033652398,-0.036630038,-0.024420025,-0.058608059,-0.034188036,2.1733823,-0.0097680101
1000.251,-0.04884005,-0.1025641,-0.0010768768,-0.036630038,-0.021978023,-0.04884005,-0.046398047,2.1733823,0.024420025
1000.321,-0.056166057,-0.080586083,-0.0005653603,-0.036630038,-0.021978023,-0.04884005,-0.021978023,2.1831503,0.014652015
1000.331,-0.056166057,-0.097680099,-0.0018576124,-0.036630038,-0.024420025,-0.053724054,-0.029304029,2.1709402,0.014652015
1000.501,-0.014652015,-0.1001221,-0.00094226719,-0.036630038,-0.024420025,-0.04884005,-0.034188036,2.1758242,0.014652015
1000.621,-0.026862027,-0.1001221,0.0024095117,-0.036630038,-0.021978023,-0.046398047,-0.031746034,2.1855922,-0.01953602
1000.751,-0.056166057,-0.1025641,0.0006057432,-0.034188036,-0.021978023,-0.04884005,-0.031746034,2.1855922,0.0
1000.9709,-0.063492067,-0.1025641,0.0016287761,-0.036630038,-0.021978023,-0.053724054,-0.031746034,2.1831503,-0.014652015
1001.181,-0.065934069,-0.1025641,-0.00017499247,-0.034188036,-0.021978023,-0.051282052,-0.034188036,2.1880343,-0.0097680101
1001.271,-0.058608059,-0.1025641,0.0022749023,-0.036630038,-0.021978023,-0.053724054,-0.034188036,2.1807082,-0.0097680101
1001.421,-0.080586083,-0.097680099,0.00021537536,-0.036630038,-0.021978023,-0.053724054,-0.034188036,2.1758242,-0.0048840051
1001.801,-0.058608059,-0.097680099,-0.00043075072,-0.036630038,-0.021978023,-0.053724054,-0.034188036,2.1855922,0.03907204
1001.811,-0.04884005,-0.1025641,0.0017633857,-0.036630038,-0.021978023,-0.051282052,-0.051282052,2.1855922,0.014652015
1002.151,-0.056166057,-0.1001221,0.0060170488,-0.036630038,-0.021978023,-0.051282052,-0.034188036,2.1855922,0.014652015
1002.261,-0.046398047,-0.1025641,-0.00030960207,-0.036630038,-0.021978023,-0.046398047,-0.034188036,2.1782663,0.0097680101
1002.301,-0.058608059,-0.1025641,-0.0030152551,-0.036630038,-0.021978023,-0.041514043,-0.031746034,2.1855922,0.0048840051
1002.4609,-0.046398047,-0.10500611,-4.0382878e-05,-0.036630038,-0.021978023,-0.04884005,-0.034188036,2.1831503,-0.014652015
1002.481,-0.095238097,-0.1025641,0.0020191439,-0.036630038,-0.021978023,-0.043956045,-0.034188036,2.1855922,-0.0048840051
1002.491,-0.080586083,-0.1025641,-0.0005653603,-0.034188036,-0.021978023,-0.03907204,-0.036630038,2.1807082,-0.0097680101
1002.631,-0.058608059,-0.1025641,-0.0014672446,-0.034188036,-0.021978023,-0.041514043,-0.034188036,2.1782663,0.0
1002.741,-0.075702079,-0.1025641,-0.0012114864,-0.036630038,-0.021978023,-0.04884005,-0.03907204,2.1782663,0.0097680101
1002.941,-0.056166057,-0.1025641,-0.00094226719,-0.036630038,-0.021978023,-0.04884005,-0.034188036,2.1782663,0.024420025
1002.9609,-0.058608059,-0.1025641,-0.00030960207,-0.036630038,-0.021978023,-0.04884005,-0.034188036,2.1831503,0.014652015
1003.001,-0.056166057,-0.1025641,-0.0017230029,-0.034188036,-0.021978023,-0.046398047,-0.034188036,2.1831503,0.01953602
1003.0909,-0.058608059,-0.1025641,0.00072689186,-0.036630038,-0.021978023,-0.041514043,-0.034188036,2.1807082,0.014652015
1003.2209,-0.063492067,-0.1025641,-0.00082111853,-0.036630038,-0.021978023,-0.043956045,-0.034188036,2.1733823,0.0
1003.511,-0.056166057,-0.1025641,-0.0019787611,-0.034188036,-0.024420025,-0.041514043,-0.03907204,2.1758242,0.0048840051
1003.571,-0.056166057,-0.1025641,-0.00082111853,-0.036630038,-0.021978023,-0.041514043,-0.041514043,2.1782663,0.0048840051
1003.621,-0.056166057,-0.1025641,8.0765756e-05,-0.036630038,-0.021978023,-0.041514043,-0.046398047,2.1758242,0.0048840051
1004.021,-0.058608059,-0.1025641,-0.00094226719,-0.036630038,-0.024420025,-0.03907204,-0.0048840051,2.1684983,-0.0097680101
1004.031,-0.056166057,-0.1025641,-0.0019787611,-0.036630038,-0.021978023,-0.043956045,-0.043956045,2.1807082,-0.024420025
1004.241,-0.061050061,-0.097680099,-0.0037825296,-0.034188036,-0.024420025,-0.041514043,-0.034188036,2.1758242,0.0048840051
